"Home Prices","Social Housing Units"
204104,717
233832,463
235143,1432
251119,1146
254151,353
256488,927
273418,864
274020,865
279189,510
280187,1048
289646,460
292861,367
293600,1661
298426,99
304262,1587
308229,2089
313618,551
314721,218
316584,2660
317508,952
329355,508
330109,332
332710,172
347446,1464
352428,589
353967,1252
354381,124
355438,1552
356096,922
359372,511
365107,891
372110,0
372380,530
373029,349
373937,328
375307,77
382119,695
387879,247
387912,273
392271,432
398281,2052
400486,527
400532,16
410703,3653
411143,985
412618,176
414216,447
416759,3990
421045,798
422689,578
423034,104
426850,522
429941,947
440179,537
440688,0
440700,201
444309,0
457524,3133
457787,521
459088,106
460811,1189
463859,0
477989,2597
478489,156
482040,966
484444,2591
484743,1028
489366,1715
490920,919
491024,139
491396,669
491678,1245
493442,1435
500054,1545
502736,41
502819,93
504233,84
505350,0
511637,561
512789,1375
514960,386
518555,238
518568,287
520032,1443
521549,841
522905,870
529278,3
532997,59
533089,122
535867,1000
537025,1434
537087,1313
538203,693
540741,175
540911,208
541247,527
542218,497
553698,786
557468,261
568877,385
571246,658
577889,1688
581398,78
581425,501
585093,715
605585,549
609689,661
613647,304
622206,473
626626,300
646460,0
656868,1154
666204,6
690949,129
723909,42
751945,193
773920,359
781568,262
784397,170
800442,445
806452,644
815247,333
818592,163
842668,192
873268,0
941223,0
957688,325
971668,0
975449,149
980831,110
993491,779
995616,0
1071823,89
1083381,101
1191040,236
1215390,113
1265389,573
1363202,0
1585984,233
1849084,0
